Temperature(C),Humidity,LPG,Smoke,Methane,Butane,CO,NH3,CO2,Alcohol,Acetone,Toluene,Benzene,Dangerous Degree
34,55,10.889166,6.428326,58996.172,12.36645,2.2596,23.7642,23.7642,0.7565322,141.82,283.085,11.431,3
34,55,11.788934,7.908548,59996.091,12.46558,0.0523,23.8642,23.8642,0.762816,145.83,285.19,11.531,3
34,55,12.688702,9.38877,60996.01,12.56471,0.04758,23.9642,23.9642,0.7690998,149.84,287.295,11.631,3
34,55,13.58847,10.868992,61995.929,12.66384,0.06778,24.0642,24.0642,0.7753836,153.85,289.4,11.731,3
34,56,14.488238,12.349214,62995.848,12.76297,0.04546,24.1642,24.1642,0.7816674,157.86,291.505,11.831,3
34,56,15.388006,13.829436,63995.767,12.8621,0.76546,24.2642,24.2642,0.7879512,161.87,293.61,11.931,3
34,56,16.287774,15.309658,64995.686,12.96123,0.03068,24.3642,24.3642,0.794235,165.88,295.715,12.031,3
34,56,17.187542,16.78988,65995.605,13.06036,0.04479,24.4642,24.4642,0.8005188,169.89,297.82,12.131,3
34,56,18.08731,18.270102,66995.524,13.15949,0.0589,24.5642,24.5642,0.8068026,173.9,299.925,12.231,3
34,56,18.987078,19.750324,67995.443,13.25862,0.07301,24.6642,24.6642,0.8130864,177.91,302.03,12.331,3
35,56,19.886846,21.230546,68995.362,13.35775,0.8712,24.7642,24.7642,0.8193702,181.92,304.135,12.431,3
35,56,20.786614,22.710768,69995.281,13.45688,0.123,24.8642,24.8642,0.825654,185.93,306.24,12.531,3
35,56,21.686382,24.19099,70995.2,13.55601,0.1534,24.9642,24.9642,0.8319378,189.94,308.345,12.631,3
35,56,22.58615,25.671212,71995.119,13.65514,0.2945,25.0642,25.0642,0.8382216,193.95,310.45,12.731,3
35,56,23.485918,27.151434,72995.038,13.75427,0.4356,25.1642,25.1642,0.8445054,197.96,312.555,12.831,3
35,56,24.385686,28.631656,73994.957,13.8534,0.5767,25.2642,25.2642,0.8507892,201.97,314.66,12.931,3
35,56,25.285454,30.111878,74994.876,13.95253,0.7178,25.3642,25.3642,0.857073,205.98,316.765,13.031,3
35,56,26.185222,31.5921,75994.795,14.05166,0.8589,25.4642,25.4642,0.8633568,209.99,318.87,13.131,3
35,56,27.08499,33.072322,76994.714,14.15079,0.02,25.5642,25.5642,0.8696406,214,320.975,13.231,3
35,56,27.984758,34.552544,77994.633,14.24992,0.021411,25.6642,25.6642,0.8759244,218.01,323.08,13.331,3
35,56,28.884526,36.032766,78994.552,14.34905,0.022822,25.7642,25.7642,0.8822082,222.02,325.185,13.431,3
35,56,29.784294,37.512988,79994.471,14.44818,0.024233,25.8642,25.8642,0.888492,226.03,327.29,13.531,3
35,56,30.684062,38.99321,80994.39,14.54731,0.025644,25.9642,25.9642,0.8947758,230.04,329.395,13.631,3
35,56,31.58383,40.473432,81994.309,14.64644,0.027055,26.0642,26.0642,0.9010596,234.05,331.5,13.731,3
35,56,32.483598,41.953654,82994.228,14.74557,0.028466,0.264811,0.264811,0.9073434,238.06,333.605,13.831,3
35,56,33.383366,43.433876,83994.147,14.8447,0.029877,0.268149,0.268149,0.9136272,242.07,335.71,13.931,3
35,56,34.283134,44.914098,84994.066,14.94383,0.031288,0.271487,0.271487,0.919911,246.08,337.815,14.031,3
35,56,35.182902,46.39432,85993.985,15.04296,0.032699,0.274825,0.274825,0.9261948,250.09,339.92,14.131,3
35,56,36.08267,47.874542,86993.904,15.14209,0.03411,0.278163,0.278163,0.9324786,254.1,342.025,14.231,3
35,56,36.982438,49.354764,87993.823,15.24122,0.035521,0.281501,0.281501,0.9387624,258.11,344.13,14.331,3
35,56,37.882206,50.834986,88993.742,15.34035,0.036932,0.284839,0.284839,0.9450462,262.12,346.235,14.431,3
35,56,38.781974,52.315208,89993.661,15.43948,0.038343,0.288177,0.288177,0.95133,266.13,0.0365,14.531,3
35,56,39.681742,53.79543,90993.58,15.53861,0.039754,0.291515,0.291515,0.9576138,270.14,0.03875,14.631,3
35,56,40.58151,55.275652,91993.499,15.63774,0.041165,0.294853,0.294853,0.9638976,274.15,0.041,14.731,3
35,56,41.481278,56.755874,92993.418,15.73687,0.042576,0.298191,0.298191,0.9701814,278.16,0.04325,14.831,3
35,56,42.381046,58.236096,93993.337,15.836,0.043987,0.301529,0.301529,0.9764652,282.17,0.0455,14.931,3
35,56,43.280814,59.716318,94993.256,15.93513,0.045398,0.304867,0.304867,0.982749,286.18,0.04775,15.031,3
35,56,44.180582,61.19654,95993.175,16.03426,0.046809,0.308205,0.308205,0.9890328,290.19,0.05,15.131,3
35,56,45.08035,62.676762,96993.094,16.13339,0.04822,0.311543,0.311543,0.9953166,294.2,0.05225,15.231,3
35,56,45.980118,64.156984,97993.013,16.23252,0.049631,0.314881,0.314881,1.0016004,0.0278,0.0545,15.331,3
35,56,46.879886,65.637206,98992.932,16.33165,0.051042,0.318219,0.318219,1.0078842,0.02875,0.05675,15.431,3
35,56,47.779654,67.117428,99992.851,16.43078,0.052453,0.321557,0.321557,1.014168,0.0297,0.059,15.531,3
35,57,48.679422,68.59765,100992.77,16.52991,0.053864,0.324895,0.324895,1.0204518,0.03065,0.06125,15.631,3
35,57,49.57919,70.077872,101992.689,16.62904,0.055275,0.328233,0.328233,1.0267356,0.0316,0.0635,15.731,3
35,57,50.478958,71.558094,102992.608,16.72817,0.056686,0.331571,0.331571,1.0330194,0.03255,0.06575,15.831,3
35,57,51.378726,73.038316,103992.527,16.8273,1.08037,0.334909,0.334909,1.0393032,0.0335,0.068,15.931,3
35,57,52.278494,74.518538,4.635322,16.92643,1.0978,0.338247,0.338247,1.045587,0.03445,0.07025,16.031,3
35,57,53.178262,75.99876,4.66524,17.02556,1.1586,0.341585,0.341585,1.0518708,0.0354,0.0725,16.131,3
35,57,54.07803,77.478982,4.695158,17.12469,1.2194,0.344923,0.344923,1.0581546,0.03635,0.07475,16.231,3
35,57,54.977798,78.959204,4.725076,17.22382,1.2802,0.348261,0.348261,1.0644384,0.0373,0.077,16.331,3
35,57,55.877566,80.439426,4.754994,17.32295,1.341,0.351599,0.351599,1.0707222,0.03825,0.07925,16.431,3
35,57,56.777334,81.919648,4.784912,17.42208,1.4018,0.354937,0.354937,1.077006,0.0392,0.0815,16.531,3
35,57,57.677102,83.39987,4.81483,17.52121,1.4626,0.358275,0.358275,1.0832898,0.04015,0.08375,16.631,3
35,57,58.57687,84.880092,4.844748,17.62034,1.5234,0.361613,0.361613,1.0895736,0.0411,0.086,16.731,3
35,57,59.476638,86.360314,4.874666,17.71947,1.5842,0.364951,0.364951,1.0958574,0.04205,0.08825,16.831,3
35,57,60.376406,87.840536,4.904584,17.8186,1.645,0.368289,0.368289,1.1021412,0.043,0.0905,16.931,3
36,57,61.276174,89.320758,4.934502,17.91773,1.7058,0.371627,0.371627,1.108425,0.04395,0.09275,17.031,3
36,57,62.175942,90.80098,4.96442,18.01686,1.7666,0.374965,0.374965,1.1147088,0.0449,0.095,17.131,3
36,57,63.07571,92.281202,4.994338,18.11599,1.8274,0.378303,0.378303,1.1209926,0.02875,0.09725,1000.876,3
36,57,63.975478,93.761424,5.024256,18.21512,1.008882,0.381641,0.381641,1.1272764,0.0973582,0.0995,1034.08,3
36,57,64.875246,95.241646,5.054174,18.31425,1.00949,0.384979,0.384979,1.1335602,0.1659664,0.10175,1067.284,3
36,57,65.775014,96.721868,0.1759,18.41338,1.010098,0.388317,0.388317,1.139844,0.2345746,0.104,1100.488,3
36,57,66.674782,98.20209,0.1801,18.51251,1.010706,0.391655,0.391655,1.1461278,0.3031828,0.3031828,1133.692,3
36,57,67.57455,99.682312,0.1843,18.61164,1.011314,0.394993,0.394993,1.1524116,0.371791,0.371791,1166.896,3
36,57,68.474318,101.162534,0.1885,18.71077,1.011922,0.398331,0.398331,1.1586954,0.4403992,0.4403992,1200.1,3
36,57,69.374086,102.642756,0.1927,18.8099,1.01253,0.401669,0.401669,1.1649792,0.5090074,0.5090074,1233.304,3
36,57,70.273854,104.122978,0.1969,18.90903,1.013138,0.405007,0.405007,1.171263,0.5776156,0.5776156,1266.508,3
36,57,71.173622,105.6032,0.2011,19.00816,1.013746,0.408345,0.408345,1.1775468,0.6462238,0.6462238,1299.712,3
36,57,72.07339,107.083422,0.2053,19.10729,1.014354,0.411683,0.411683,1.1838306,0.714832,0.714832,1332.916,3
36,57,72.973158,108.563644,0.2095,19.20642,1.014962,0.415021,0.415021,1.1901144,0.7834402,0.7834402,1366.12,3
36,57,73.872926,110.043866,0.2137,19.30555,1.01557,0.418359,0.418359,1.1963982,0.8520484,0.8520484,1399.324,3
36,57,74.772694,111.524088,0.0348,19.40468,1.016178,0.421697,0.421697,1.202682,0.9206566,0.9206566,1432.528,3
36,57,75.672462,113.00431,0.0251,19.50381,1.016786,0.425035,0.425035,1.2089658,0.9892648,0.9892648,1465.732,3
36,57,76.57223,114.484532,0.0221,19.60294,1.017394,0.428373,0.428373,1.2152496,1.057873,1.057873,1498.936,3
36,57,77.471998,115.964754,0.02882,19.70207,1.018002,0.431711,0.431711,1.2215334,1.1264812,1.1264812,1532.14,3
36,57,78.371766,117.444976,0.0345,19.8012,1.01861,0.435049,0.435049,1.2278172,1.1950894,1.1950894,1565.344,3
36,57,79.271534,118.925198,0.03,19.90033,1.019218,0.438387,0.438387,1.234101,1.2636976,1.2636976,1598.548,3
36,57,80.171302,120.40542,0.030312,19.99946,1.019826,0.441725,0.441725,1.2403848,1.3323058,1.3323058,1631.752,3
36,57,81.07107,121.885642,0.030624,20.09859,1.020434,0.445063,0.445063,1.2466686,1.400914,1.400914,1664.956,3
36,57,81.970838,123.365864,0.030936,20.19772,1.021042,0.448401,0.448401,1.2529524,1.4695222,1.4695222,1698.16,3
36,57,82.870606,124.846086,0.031248,20.29685,1.02165,0.451739,0.451739,1.2592362,1.5381304,1.5381304,1731.364,3
36,57,83.770374,126.326308,0.03156,20.39598,1.022258,0.455077,0.455077,1.26552,1.6067386,1.6067386,1764.568,3
36,57,84.670142,127.80653,0.031872,20.49511,1.022866,0.458415,0.458415,1.2718038,1.6753468,1.6753468,1797.772,3
36,57,85.56991,129.286752,0.032184,20.59424,1.023474,0.461753,0.461753,1.2780876,1.743955,1.743955,1830.976,3
36,57,86.469678,130.766974,0.032496,20.69337,1.024082,0.465091,0.465091,1.2843714,1.8125632,1.8125632,1864.18,3
36,57,87.369446,132.247196,0.032808,20.7925,1.02469,0.468429,0.468429,1.2906552,1.8811714,1.8811714,1897.384,3
36,58,88.269214,133.727418,0.03312,20.89163,1.025298,0.471767,0.471767,1.296939,1.9497796,1.9497796,1930.588,3
36,58,89.168982,135.20764,0.033432,20.99076,1.025906,0.475105,0.475105,1.3032228,2.0183878,2.0183878,1963.792,3
36,58,90.06875,136.687862,0.033744,21.08989,1.026514,0.478443,0.478443,1.3095066,2.086996,2.086996,1996.996,3
36,58,90.968518,138.168084,0.034056,21.18902,1.027122,0.481781,0.481781,1.3157904,2.1556042,2.1556042,2030.2,3
36,58,91.868286,139.648306,0.034368,21.28815,1.02773,0.485119,0.485119,1.3220742,2.2242124,2.2242124,2063.404,3
36,58,92.768054,141.128528,0.03468,21.38728,1.028338,0.488457,0.488457,1.328358,5.789,5.97,2096.608,3
36,58,93.667822,142.60875,0.034992,21.48641,0.098964,0.491795,0.491795,1.3346418,6.12,10.78,2129.812,3
37,58,94.56759,144.088972,0.035304,21.58554,0.099724,0.495133,0.495133,1.3409256,6.451,15.59,2163.016,3
37,58,95.467358,145.569194,0.035616,21.68467,0.100484,0.498471,0.498471,1.3472094,6.782,20.4,2196.22,3
37,58,96.367126,147.049416,0.035928,21.7838,0.101244,2.2714,2.2714,1.3534932,7.113,25.21,2229.424,3
37,58,97.266894,148.529638,0.03624,21.88293,0.102004,2.1704,2.1704,1.359777,7.444,30.02,2262.628,3
37,58,98.166662,150.00986,0.036552,21.98206,0.102764,2.0694,2.0694,1.3660608,7.775,34.83,2295.832,3
37,58,99.06643,151.490082,0.02567,22.08119,0.103524,1.9684,1.9684,1.3723446,8.106,39.64,2329.036,3
37,58,99.966198,152.970304,0.02467,22.18032,0.104284,1.8674,1.8674,1.3786284,8.437,44.45,2362.24,3
37,58,100.865966,154.450526,0.028,22.27945,0.105044,1.7664,1.7664,1.3849122,8.768,49.26,2395.444,3
37,58,101.765734,155.930748,0.0282,22.37858,0.105804,1.6654,1.6654,1.391196,9.099,54.07,2428.648,3
37,58,102.665502,157.41097,0.0284,22.47771,0.106564,1.5644,1.5644,1.3974798,9.43,58.88,2461.852,3
37,58,103.56527,158.891192,0.0286,22.57684,0.107324,1.4634,1.4634,1.4037636,9.761,63.69,2495.056,3
37,58,104.465038,160.371414,0.0288,22.67597,0.108084,1.3624,1.3624,1.4100474,10.092,68.5,2528.26,3
37,58,105.364806,161.851636,0.029,22.7751,0.108844,1.2614,1.2614,1.4163312,10.423,73.31,2561.464,3
37,58,106.264574,163.331858,0.0292,22.87423,0.109604,1.1604,1.1604,1.422615,10.754,78.12,2594.668,3
37,58,107.164342,0.0294,98.8765,22.97336,0.110364,1.0594,1.0594,1.4288988,11.085,82.93,2627.872,3
37,58,108.06411,0.0296,99.16768,23.07249,0.111124,0.9584,0.9584,1.4351826,11.416,87.74,2661.076,3
37,58,108.963878,0.0298,99.45886,23.17162,0.111884,0.8574,0.8574,1.4414664,11.747,92.55,2694.28,3
37,58,109.863646,0.03,99.75004,23.27075,0.112644,0.7564,0.7564,1.4477502,12.078,97.36,2727.484,3
37,58,110.763414,0.0302,100.04122,23.36988,0.113404,0.6554,0.6554,1.454034,12.409,102.17,2760.688,3
37,59,111.663182,0.0304,100.3324,23.46901,0.114164,0.5544,0.5544,1.4603178,12.74,106.98,2793.892,3
37,59,112.56295,0.0306,100.62358,23.56814,0.114924,0.4534,0.4534,1.4666016,13.071,111.79,2827.096,3
37,59,113.462718,0.0308,100.91476,23.66727,0.115684,0.3524,0.3524,1.4728854,13.402,116.6,2860.3,3
37,59,114.362486,0.031,101.20594,23.7664,0.116444,0.2642,0.2642,1.4791692,13.733,121.41,2893.504,3
37,59,115.262254,0.0312,101.49712,23.86553,0.117204,500.68,500.68,1.485453,14.064,126.22,2926.708,3
37,59,116.162022,0.0314,101.7883,23.96466,0.117964,503.78,503.78,1.4917368,14.395,131.03,2959.912,3
37,59,117.06179,0.0316,102.07948,24.06379,0.118724,506.88,506.88,1.4980206,14.726,135.84,2993.116,3
37,59,117.961558,0.0318,102.37066,24.16292,0.119484,509.98,509.98,1.5043044,15.057,140.65,3026.32,3
37,59,118.861326,0.032,102.66184,24.26205,0.120244,513.08,513.08,1.5105882,15.388,145.46,3059.524,3
37,59,119.761094,0.0322,102.95302,24.36118,0.121004,516.18,516.18,1.516872,15.719,150.27,3092.728,3
37,59,120.660862,0.0324,103.2442,24.46031,0.121764,519.28,519.28,1.5231558,16.05,155.08,3125.932,3
37,59,121.56063,0.0326,103.53538,24.55944,0.122524,522.38,522.38,1.5294396,16.381,159.89,3159.136,3
37,59,122.460398,0.0328,103.82656,24.65857,0.123284,525.48,525.48,1.5357234,16.712,164.7,3192.34,3
37,59,123.360166,0.033,104.11774,24.7577,0.124044,528.58,528.58,1.5420072,17.043,169.51,3225.544,3
37,59,124.259934,0.0332,0.00236,24.85683,0.0802475,531.68,531.68,1.548291,17.374,174.32,3258.748,3
37,59,125.159702,0.0334,0.00764,24.95596,0.0909876,534.78,534.78,1.5545748,17.705,179.13,3291.952,3
37,59,126.05947,0.0336,0.01292,25.05509,0.0097277,537.88,537.88,1.5608586,18.036,183.94,3325.156,3
37,59,126.959238,0.0338,0.0182,25.15422,0.024678,540.98,540.98,1.5671424,18.367,188.75,3358.36,3
37,59,127.859006,0.034,0.02348,25.25335,0.032079,544.08,544.08,1.5734262,18.698,193.56,3391.564,3
37,59,128.758774,0.0342,0.02876,25.35248,0.03948,547.18,547.18,1.57971,19.029,198.37,3424.768,3
37,59,129.658542,0.0344,0.03404,25.45161,0.046881,550.28,550.28,1.5859938,19.36,203.18,3457.972,3
37,59,130.55831,0.0346,0.03932,25.55074,0.054282,553.38,553.38,1.5922776,19.691,207.99,3491.176,3
37,59,131.458078,0.0348,0.0446,25.64987,0.061683,556.48,556.48,1.5985614,20.022,212.8,3524.38,3
37,59,132.357846,0.035,0.04988,25.749,0.069084,559.58,559.58,1.6048452,20.353,217.61,3557.584,3
37,60,133.257614,0.0352,0.05516,25.84813,0.03843,562.68,562.68,1.611129,20.684,222.42,3590.788,3
37,60,134.157382,0.0354,0.06044,25.94726,0.0498,565.78,565.78,1.6174128,21.015,227.23,3623.992,3
37,60,135.05715,0.0356,0.06572,26.04639,0.06117,132.89,132.89,1.6236966,21.346,232.04,3657.196,3
37,60,135.956918,0.0358,0.071,26.14552,0.07254,134.67,134.67,1.6299804,21.677,236.85,3690.4,3
37,60,136.856686,0.036,0.07628,26.24465,0.08391,136.45,136.45,1.6362642,22.008,241.66,3723.604,3
37,60,137.756454,0.0362,0.08156,26.34378,0.09528,138.23,138.23,1.642548,22.339,246.47,3756.808,3
37,60,138.656222,0.0364,0.08684,26.44291,0.10665,140.01,140.01,1.6488318,22.67,251.28,3790.012,3
37,60,139.55599,0.0366,0.09212,26.54204,0.11802,141.79,141.79,1.6551156,23.001,256.09,3823.216,3
37,60,140.455758,0.0368,0.0974,26.64117,0.12939,143.57,143.57,1.6613994,23.332,260.9,3856.42,3
37,60,141.355526,0.037,0.10268,26.7403,0.14076,145.35,145.35,1.6676832,23.663,265.71,3889.624,3
37,60,142.255294,0.0372,0.10796,26.83943,0.15213,147.13,147.13,1.673967,23.994,270.52,3922.828,3
37,60,143.155062,0.0374,0.11324,26.93856,0.1635,148.91,148.91,1.6802508,24.325,275.33,3956.032,3
37,60,144.05483,0.0376,0.11852,27.03769,0.17487,150.69,150.69,1.6865346,24.656,280.14,3989.236,3
37,60,144.954598,0.0378,0.1238,27.13682,0.18624,152.47,152.47,1.6928184,24.987,284.95,4022.44,3
37,60,145.854366,0.038,0.12908,27.23595,0.19761,154.25,154.25,1.6991022,25.318,289.76,4055.644,3
37,60,146.754134,0.0382,0.13436,27.33508,0.20898,156.03,156.03,1.705386,25.649,0.022390068,4088.848,3
37,60,147.653902,0.0384,0.13964,27.43421,0.22035,157.81,157.81,1.7116698,25.98,0.022809727,4122.052,3
37,60,148.55367,0.0386,0.14492,27.53334,0.23172,159.59,159.59,1.7179536,26.311,0.023229386,4155.256,3
38,60,149.453438,0.0388,0.1502,27.63247,0.24309,161.37,161.37,1.7242374,26.642,0.023649045,4188.46,3
38,60,150.353206,0.0299,0.15548,27.7316,0.25446,163.15,163.15,1.7305212,26.973,0.024068704,4221.664,3
38,60,151.252974,0.0301,0.16076,27.83073,0.26583,164.93,164.93,1.736805,27.304,0.024488363,4254.868,3
38,60,152.152742,0.0303,0.16604,27.92986,0.2772,166.71,166.71,1.7430888,27.635,0.024908022,4288.072,3
38,60,153.05251,0.0305,0.17132,28.02899,0.28857,168.49,168.49,1.7493726,27.966,0.025327681,4321.276,3
38,61,153.952278,0.0307,0.1766,0.123,0.29994,170.27,170.27,1.7556564,28.297,0.02574734,4354.48,3
38,61,154.852046,0.0309,0.18188,0.234,0.31131,172.05,172.05,1.7619402,28.628,0.026166999,4387.684,3
38,61,155.751814,0.0311,0.18716,0.345,0.32268,173.83,173.83,1.768224,0.026586658,0.026586658,4420.888,3
38,61,156.651582,0.0313,0.19244,0.456,0.33405,175.61,175.61,1.7745078,0.027006317,0.027006317,4454.092,3
38,61,157.55135,0.0315,0.19772,0.567,0.34542,177.39,177.39,1.7807916,0.027425976,0.027425976,5.678,3
38,61,158.451118,0.0317,0.203,0.678,0.35679,179.17,179.17,1.7870754,0.027845635,0.027845635,5.98,3
38,61,159.350886,0.0319,0.20828,0.789,0.36816,180.95,180.95,1.7933592,0.028265294,0.028265294,6.282,3
38,61,160.250654,0.0321,0.21356,0.9,0.37953,182.73,182.73,1.799643,0.028684953,0.028684953,6.584,3
38,61,161.150422,0.0323,0.21884,1.011,0.3909,184.51,184.51,1.8059268,0.029104612,0.029104612,6.886,3
38,61,162.05019,0.0325,0.22412,1.122,0.40227,186.29,186.29,1.8122106,0.029524271,0.029524271,7.188,3
38,61,162.949958,0.0327,0.2294,1.233,0.41364,188.07,188.07,1.8184944,0.02994393,0.02994393,7.49,3
38,61,163.849726,0.0329,0.23468,1.344,0.42501,189.85,189.85,1.8247782,0.030363589,0.030363589,7.792,3
38,61,164.749494,0.0331,0.23996,1.455,0.43638,191.63,191.63,1.831062,0.030783248,0.030783248,8.094,3
38,61,165.649262,0.0333,0.24524,1.566,0.44775,193.41,193.41,1.8373458,0.031202907,0.031202907,8.396,3
38,61,166.54903,0.0335,0.25052,1.677,0.45912,195.19,195.19,1.8436296,0.031622566,0.031622566,8.698,3
38,61,167.448798,0.0337,0.2558,1.788,0.47049,196.97,196.97,1.8499134,0.032042225,0.032042225,9,3
38,61,168.348566,0.0339,0.26108,1.899,0.48186,198.75,198.75,1.8561972,0.032461884,0.032461884,9.302,3
38,61,169.248334,0.0341,0.26636,2.01,0.49323,200.53,200.53,1.862481,0.032881543,0.032881543,9.604,3
38,61,170.148102,0.0343,0.27164,2.121,0.5046,202.31,202.31,1.8687648,0.033301202,0.033301202,9.906,3
38,61,171.04787,0.0345,0.27692,2.232,0.51597,204.09,204.09,1.8750486,0.033720861,0.033720861,10.208,3
38,61,171.947638,0.0347,0.2822,2.343,0.52734,205.87,205.87,1.8813324,0.03414052,0.03414052,10.51,3
38,61,172.847406,0.0349,0.28748,2.454,0.53871,207.65,207.65,1.8876162,0.034560179,0.034560179,10.812,3
38,62,173.747174,0.0351,0.29276,2.565,0.55008,209.43,209.43,1.8939,0.034979838,0.034979838,11.114,3
38,62,174.646942,0.0353,0.29804,2.676,0.56145,211.21,211.21,1.9001838,0.035399497,0.035399497,11.416,3
38,62,175.54671,0.0355,0.30332,2.787,0.57282,212.99,212.99,1.9064676,0.035819156,0.035819156,11.718,3
38,62,176.446478,0.0357,0.3086,2.898,0.58419,214.77,214.77,1.9127514,0.036238815,0.036238815,12.02,3
38,62,177.346246,0.0359,0.31388,3.009,0.59556,216.55,216.55,1.9190352,0.036658474,0.036658474,12.322,3
38,62,178.246014,0.0361,0.31916,3.12,0.60693,218.33,218.33,1.925319,0.037078133,0.037078133,12.624,3
38,62,179.145782,0.0363,0.32444,3.231,0.6183,220.11,220.11,1.9316028,0.037497792,0.037497792,12.926,3
38,62,180.04555,0.024,0.32972,3.342,1000.4586,221.89,221.89,1.9378866,0.037917451,0.037917451,13.228,3
38,62,180.945318,0.02412,0.335,3.453,1200.4897,223.67,223.67,1.9441704,0.03833711,0.03833711,13.53,3
38,62,181.845086,0.02424,0.34028,3.564,1400.5208,225.45,225.45,1.9504542,0.038756769,0.038756769,13.832,3
38,62,182.744854,0.02436,0.34556,3.675,1600.5519,227.23,227.23,1.956738,0.039176428,0.039176428,14.134,3
38,62,183.644622,0.02448,0.35084,3.786,1800.583,229.01,229.01,1.9630218,0.039596087,0.039596087,14.436,3
38,62,184.54439,0.0246,0.35612,3.897,2000.6141,230.79,230.79,1.9693056,0.040015746,0.040015746,14.738,3
38,62,185.444158,0.02472,0.3614,4.008,2200.6452,232.57,232.57,1.9755894,0.040435405,0.040435405,15.04,3
38,62,186.343926,0.02484,0.36668,4.119,0.0513144,234.35,234.35,1.9818732,0.040855064,0.040855064,15.342,3
38,62,187.243694,0.02496,0.37196,4.23,0.0520545,236.13,236.13,1.988157,0.041274723,0.041274723,15.644,3
39,62,188.143462,0.02508,0.37724,4.341,0.0527946,237.91,237.91,1.9944408,0.041694382,0.041694382,15.946,3
39,62,189.04323,0.0252,0.38252,4.452,0.0535347,239.69,239.69,2.0007246,0.042114041,0.042114041,16.248,3
39,62,189.942998,0.02532,0.3878,4.563,0.0542748,241.47,241.47,2.0070084,0.0425337,0.0425337,16.55,3
39,62,190.842766,0.02544,0.39308,4.674,0.0550149,243.25,243.25,2.0132922,0.042953359,0.042953359,16.852,3
39,62,191.742534,0.02556,0.39836,4.785,2.2659,245.03,245.03,2.019576,0.043373018,0.043373018,17.154,3
39,62,192.642302,0.02568,0.40364,4.896,2.24,246.81,246.81,2.0258598,0.043792677,0.043792677,17.456,3
39,62,193.54207,0.0258,0.40892,5.007,2.2141,248.59,248.59,2.0321436,0.044212336,0.044212336,17.758,3
39,63,194.441838,0.02592,0.4142,5.118,2.1882,250.37,250.37,2.0384274,0.044631995,0.044631995,18.06,3
39,63,195.341606,0.02604,0.41948,5.229,2.1623,252.15,252.15,2.0447112,0.045051654,0.045051654,18.362,3
39,63,196.241374,0.02616,0.42476,5.34,2.1364,253.93,253.93,2.050995,0.045471313,0.045471313,18.664,3
39,63,197.141142,0.02628,0.43004,5.451,2.1105,255.71,255.71,2.0572788,0.045890972,0.045890972,18.966,3
39,63,198.04091,0.0264,0.43532,5.562,2.0846,257.49,257.49,2.0635626,0.046310631,0.046310631,19.268,3
39,63,198.940678,0.02652,0.4406,5.673,2.0587,259.27,259.27,2.0698464,0.04673029,0.04673029,19.57,3
39,63,199.840446,0.02664,0.44588,5.784,2.0328,261.05,261.05,2.0761302,0.047149949,0.047149949,19.872,3
39,63,200.740214,0.02676,0.45116,5.895,2.0069,262.83,262.83,2.082414,0.047569608,0.047569608,20.174,3
39,63,201.639982,0.02688,0.45644,6.006,1.981,264.61,264.61,2.0886978,0.047989267,0.047989267,20.476,3
39,63,202.53975,0.027,0.46172,6.117,1.9551,266.39,266.39,2.0949816,0.048408926,0.048408926,20.778,3
39,63,203.439518,0.02712,0.467,6.228,1.9292,268.17,268.17,2.1012654,0.048828585,0.048828585,21.08,3
39,63,204.339286,0.02724,0.47228,6.339,1.9033,269.95,269.95,2.1075492,0.049248244,0.049248244,21.382,3
39,63,205.239054,0.02736,0.47756,6.45,1.8774,271.73,271.73,2.113833,0.049667903,0.049667903,21.684,3
39,63,206.138822,0.02748,0.48284,6.561,1.8515,273.51,273.51,2.1201168,0.050087562,0.050087562,21.986,3
39,63,207.03859,0.0276,0.48812,6.672,1.8256,275.29,275.29,2.1264006,0.050507221,0.050507221,22.288,3
39,63,207.938358,0.02772,0.4934,6.783,1.7997,277.07,277.07,2.1326844,0.05092688,0.05092688,22.59,3
39,63,0.0056739,0.02784,0.49868,6.894,1.7738,278.85,278.85,2.1389682,0.051346539,0.051346539,22.892,3
39,63,0.047986,0.02796,0.50396,7.005,1.7479,280.63,280.63,2.145252,0.051766198,0.051766198,23.194,3
39,63,0.0902981,0.02808,0.50924,7.116,1.722,282.41,282.41,2.1515358,0.052185857,0.052185857,23.496,3
39,63,0.1326102,0.0282,0.51452,7.227,1.6961,284.19,284.19,2.1578196,0.052605516,0.052605516,23.798,3
39,63,0.1749223,0.02832,0.5198,7.338,1.6702,285.97,285.97,2.1641034,0.053025175,0.053025175,24.1,3
39,63,0.2172344,0.02844,0.52508,7.449,1.6443,287.75,287.75,2.1703872,0.053444834,0.053444834,24.402,3
39,63,0.2595465,0.02856,0.53036,7.56,1.6184,289.53,289.53,2.176671,0.053864493,0.053864493,24.704,3
39,63,0.3018586,0.02868,0.53564,7.671,1.5925,291.31,291.31,2.1829548,0.054284152,0.054284152,25.006,3
39,63,0.3441707,0.0288,0.54092,7.782,1.5666,293.09,293.09,2.1892386,0.054703811,0.054703811,25.308,3
39,64,0.3864828,0.02892,0.5462,7.893,1.5407,294.87,294.87,2.1955224,0.05512347,0.05512347,25.61,3
39,64,0.4287949,0.02904,0.55148,8.004,1.5148,296.65,296.65,2.2018062,0.055543129,0.055543129,25.912,3
39,64,0.471107,0.02916,0.55676,8.115,1.4889,298.43,298.43,2.20809,0.055962788,0.055962788,26.214,3
